episode,query_idx,key,value,pred,correct,rank
0,0,8,61,15,0,13
0,1,18,15,15,1,1
0,2,21,59,15,0,8
0,3,30,35,4,0,5
0,4,0,4,4,1,1
0,5,31,29,29,1,1
0,6,53,46,46,1,1
0,7,15,63,63,1,1
1,0,10,15,58,0,36
1,1,63,7,45,0,4
1,2,61,1,58,0,8
1,3,3,45,45,1,1
1,4,6,34,58,0,3
1,5,38,18,45,0,5
1,6,58,45,45,1,1
1,7,41,33,33,1,1
2,0,17,30,57,0,4
2,1,55,35,27,0,5
2,2,27,19,63,0,6
2,3,57,63,63,1,1
2,4,30,38,42,0,6
2,5,42,54,59,0,2
2,6,59,50,50,1,1
2,7,5,27,63,0,6
3,0,21,1,42,0,12
3,1,27,42,23,0,3
3,2,49,30,23,0,11
3,3,41,55,23,0,7
3,4,19,14,23,0,6
3,5,35,2,23,0,2
3,6,44,4,23,0,2
3,7,5,23,23,1,1
4,0,2,54,11,0,5
4,1,45,25,11,0,8
4,2,3,10,33,0,4
4,3,30,18,33,0,3
4,4,21,13,11,0,3
4,5,26,33,33,1,1
4,6,58,29,11,0,3
4,7,11,17,17,1,1
5,0,55,44,58,0,7
5,1,58,9,49,0,13
5,2,61,40,49,0,8
5,3,37,49,58,0,5
5,4,29,58,8,0,4
5,5,7,8,36,0,2
5,6,36,59,14,0,3
5,7,43,14,14,1,1
6,0,14,61,34,0,14
6,1,27,53,34,0,3
6,2,28,27,34,0,10
6,3,15,9,34,0,13
6,4,61,45,34,0,8
6,5,58,34,34,1,1
6,6,42,1,34,0,3
6,7,46,34,34,1,1
7,0,16,2,15,0,6
7,1,31,49,15,0,2
7,2,60,46,4,0,10
7,3,50,53,36,0,5
7,4,59,27,4,0,5
7,5,29,4,36,0,2
7,6,15,36,36,1,1
7,7,3,19,19,1,1
8,0,46,52,59,0,8
8,1,48,59,59,1,1
8,2,61,59,59,1,1
8,3,24,10,1,0,5
8,4,7,19,37,0,4
8,5,59,13,1,0,4
8,6,27,41,37,0,3
8,7,1,37,37,1,1
9,0,9,35,35,1,1
9,1,43,41,45,0,12
9,2,48,52,22,0,3
9,3,26,45,22,0,2
9,4,56,21,22,0,5
9,5,3,5,22,0,17
9,6,63,35,49,0,3
9,7,22,49,49,1,1
10,0,51,44,46,0,10
10,1,63,27,53,0,3
10,2,38,21,53,0,2
10,3,12,47,53,0,14
10,4,50,6,0,0,7
10,5,46,0,0,1,1
10,6,37,3,56,0,2
10,7,53,56,56,1,1
11,0,61,56,59,0,11
11,1,40,59,59,1,1
11,2,62,36,35,0,3
11,3,42,17,35,0,2
11,4,12,53,35,0,2
11,5,14,59,35,0,3
11,6,44,35,51,0,2
11,7,51,39,39,1,1
12,0,20,48,13,0,8
12,1,56,43,13,0,5
12,2,40,13,13,1,1
12,3,14,5,13,0,7
12,4,24,40,13,0,6
12,5,16,13,13,1,1
12,6,47,13,4,0,2
12,7,4,25,25,1,1
13,0,32,16,16,1,1
13,1,42,17,55,0,13
13,2,63,5,55,0,5
13,3,22,19,29,0,7
13,4,18,52,29,0,2
13,5,61,3,55,0,5
13,6,58,43,29,0,3
13,7,29,55,55,1,1
14,0,55,49,24,0,17
14,1,42,12,24,0,2
