episode,query_idx,key,value,pred,correct,rank
0,0,8,61,15,0,13
0,1,18,15,15,1,1
0,2,21,59,15,0,14
0,3,30,35,53,0,2
0,4,0,4,53,0,2
0,5,31,29,63,0,5
0,6,53,46,63,0,2
0,7,15,63,63,1,1
1,0,10,15,58,0,33
1,1,63,7,58,0,7
1,2,61,1,58,0,7
1,3,3,45,58,0,2
1,4,6,34,58,0,4
1,5,38,18,45,0,4
1,6,58,45,45,1,1
1,7,41,33,33,1,1
2,0,17,30,27,0,3
2,1,55,35,50,0,5
2,2,27,19,38,0,3
2,3,57,63,38,0,9
2,4,30,38,59,0,2
2,5,42,54,59,0,3
2,6,59,50,5,0,3
2,7,5,27,27,1,1
3,0,21,1,35,0,10
3,1,27,42,35,0,6
3,2,49,30,23,0,11
3,3,41,55,23,0,8
3,4,19,14,23,0,11
3,5,35,2,2,1,1
3,6,44,4,5,0,2
3,7,5,23,23,1,1
4,0,2,54,11,0,8
4,1,45,25,11,0,10
4,2,3,10,33,0,5
4,3,30,18,11,0,4
4,4,21,13,11,0,4
4,5,26,33,11,0,3
4,6,58,29,11,0,22
4,7,11,17,17,1,1
5,0,55,44,49,0,9
5,1,58,9,49,0,17
5,2,61,40,49,0,8
5,3,37,49,36,0,2
5,4,29,58,36,0,5
5,5,7,8,36,0,2
5,6,36,59,14,0,3
5,7,43,14,14,1,1
6,0,14,61,34,0,9
6,1,27,53,34,0,10
6,2,28,27,34,0,16
6,3,15,9,34,0,24
6,4,61,45,34,0,9
6,5,58,34,34,1,1
6,6,42,1,34,0,2
6,7,46,34,34,1,1
7,0,16,2,15,0,6
7,1,31,49,15,0,4
7,2,60,46,4,0,12
7,3,50,53,15,0,8
7,4,59,27,4,0,4
7,5,29,4,4,1,1
7,6,15,36,36,1,1
7,7,3,19,19,1,1
8,0,46,52,59,0,5
8,1,48,59,59,1,1
8,2,61,59,59,1,1
8,3,24,10,37,0,4
8,4,7,19,1,0,2
8,5,59,13,1,0,5
8,6,27,41,1,0,3
8,7,1,37,37,1,1
9,0,9,35,35,1,1
9,1,43,41,21,0,12
9,2,48,52,56,0,2
9,3,26,45,56,0,8
9,4,56,21,49,0,5
9,5,3,5,49,0,2
9,6,63,35,49,0,4
9,7,22,49,49,1,1
10,0,51,44,63,0,9
10,1,63,27,3,0,4
10,2,38,21,3,0,5
10,3,12,47,3,0,7
10,4,50,6,0,0,12
10,5,46,0,56,0,2
10,6,37,3,56,0,3
10,7,53,56,56,1,1
11,0,61,56,59,0,12
11,1,40,59,59,1,1
11,2,62,36,53,0,5
11,3,42,17,17,1,1
11,4,12,53,53,1,1
11,5,14,59,51,0,3
11,6,44,35,51,0,4
11,7,51,39,39,1,1
12,0,20,48,13,0,4
12,1,56,43,13,0,14
12,2,40,13,13,1,1
12,3,14,5,13,0,2
12,4,24,40,13,0,9
12,5,16,13,13,1,1
12,6,47,13,14,0,2
12,7,4,25,14,0,2
13,0,32,16,16,1,1
13,1,42,17,55,0,5
13,2,63,5,55,0,5
13,3,22,19,52,0,3
13,4,18,52,52,1,1
13,5,61,3,55,0,2
13,6,58,43,55,0,4
13,7,29,55,55,1,1
14,0,55,49,12,0,12
14,1,42,12,12,1,1
