episode,k1,k2,v,pred1,pred2,correct
0,11,43,9,43,43,0
1,12,3,23,3,23,1
2,7,43,4,43,43,0
3,60,32,3,32,3,1
4,56,37,62,37,56,0
5,61,46,34,46,61,0
6,24,21,6,21,21,0
7,7,20,28,20,28,1
8,25,18,54,18,54,1
9,6,46,13,46,13,1
10,53,47,58,53,53,0
11,34,25,28,25,25,0
12,40,45,5,45,5,1
13,61,51,45,51,61,0
14,55,3,48,3,48,1
15,37,55,33,55,33,1
16,30,3,38,3,3,0
17,5,6,20,6,6,0
18,63,37,61,37,61,1
19,8,26,15,26,15,1
20,36,48,28,48,48,0
21,48,37,43,37,43,1
22,30,61,44,61,61,0
23,57,3,59,3,59,1
24,9,56,12,56,56,0
25,52,40,32,40,39,0
26,49,12,17,17,17,0
27,49,6,47,6,6,0
28,59,29,56,29,56,1
29,48,14,4,14,4,1
30,25,23,60,23,60,1
31,18,20,57,20,57,1
32,26,43,4,43,43,0
33,51,26,23,26,51,0
34,38,26,33,26,33,1
35,3,14,58,14,58,1
36,21,8,3,8,8,0
37,27,29,19,29,19,1
38,56,8,0,8,56,0
39,42,47,57,47,42,0
40,58,0,10,0,0,0
41,20,15,32,15,15,0
42,9,37,2,37,2,1
43,36,52,3,52,52,0
44,9,46,37,46,37,1
45,10,29,38,29,38,1
46,45,51,34,51,51,0
47,46,49,52,49,52,1
48,58,14,17,17,17,0
49,1,16,59,16,1,0
50,4,49,52,49,52,1
51,52,13,27,13,13,0
52,7,59,14,59,59,0
53,39,63,11,63,63,0
54,11,14,50,14,50,1
55,12,62,53,53,53,0
56,58,9,7,9,9,0
57,36,38,21,38,21,1
58,12,17,19,17,17,0
59,38,34,0,34,0,1
60,59,5,41,5,41,1
61,20,22,40,22,22,0
62,27,17,36,17,17,0
63,3,7,26,7,26,1
64,4,25,34,25,25,0
65,5,28,61,61,28,0
66,61,38,18,38,61,0
67,55,35,2,35,2,1
68,50,42,33,42,42,0
69,13,33,26,33,33,0
70,39,26,48,26,48,1
71,60,39,54,39,39,0
72,42,62,31,62,42,0
73,39,22,52,22,39,0
74,60,16,39,16,39,1
75,26,39,36,39,39,0
76,11,13,37,13,13,0
77,29,49,59,49,59,1
78,55,41,8,41,41,0
79,14,63,45,63,63,0
80,28,14,17,17,17,0
81,54,36,28,36,36,0
82,61,58,62,58,61,0
83,40,21,58,21,21,0
84,11,2,25,2,25,1
85,28,36,26,36,26,1
86,40,48,1,48,1,1
87,59,21,18,21,21,0
88,59,17,22,17,17,0
89,56,11,59,11,56,0
90,62,34,33,34,33,1
91,55,20,62,20,62,1
92,62,59,40,59,59,0
93,45,43,36,43,43,0
94,59,0,25,0,25,1
95,23,29,31,29,31,1
96,35,13,24,13,13,0
97,49,56,58,56,56,0
98,52,53,44,53,53,0
99,1,57,21,57,21,1
100,22,47,31,47,31,1
101,45,21,24,21,21,0
102,37,49,2,49,2,1
103,47,40,6,40,6,1
104,62,21,0,21,21,0
105,52,44,21,21,44,0
106,14,8,39,39,8,0
107,21,16,5,16,16,0
108,31,2,19,2,19,1
109,5,1,41,1,1,0
110,41,43,12,43,43,0
111,51,62,12,62,51,0
112,4,20,39,39,20,0
113,39,16,7,16,39,0
114,44,58,12,58,58,0
115,3,56,33,56,56,0
116,39,57,33,57,33,1
117,46,16,25,16,25,1
118,53,57,8,53,57,0
119,0,49,6,49,6,1
120,4,13,7,13,13,0
121,21,28,44,28,28,0
122,18,6,32,6,6,0
123,23,59,56,59,56,1
124,31,5,59,5,59,1
125,13,51,63,51,51,0
126,26,51,40,51,51,0
127,8,2,5,2,2,0
128,50,62,19,62,62,0
129,59,26,23,26,26,0
130,33,31,30,31,30,1
131,62,30,48,30,48,1
132,2,14,42,42,14,0
133,58,52,49,52,52,0
134,43,59,14,59,39,0
135,36,23,43,23,43,1
136,49,17,40,17,17,0
137,42,15,60,15,15,0
138,49,41,51,41,41,0
139,60,58,27,58,27,1
140,36,48,32,48,48,0
141,30,11,24,11,11,0
142,37,40,25,40,25,1
143,21,38,34,38,21,0
144,53,54,33,53,53,0
145,62,11,36,11,36,1
146,48,34,7,34,48,0
147,17,34,46,34,17,0
148,53,46,51,46,53,0
149,13,48,0,48,48,0
