episode,k1,k2,v,pred1,pred2,correct
0,13,53,48,53,13,0
1,50,4,34,4,50,0
2,34,30,12,30,34,0
3,17,3,45,3,3,0
4,61,52,18,52,52,0
5,10,28,14,28,10,0
6,47,40,52,40,52,1
7,60,23,6,23,60,0
8,30,63,43,63,30,0
9,38,28,17,28,28,0
10,13,20,44,20,20,0
11,12,7,61,7,7,0
12,61,30,20,30,61,0
13,30,14,53,14,14,0
14,24,41,53,41,24,0
15,0,48,29,48,0,0
16,34,50,27,50,50,0
17,6,13,50,13,6,0
18,47,36,46,36,36,0
19,27,19,57,19,27,0
20,40,19,24,19,19,0
21,37,46,35,46,46,0
22,7,43,34,43,43,0
23,16,53,49,53,53,0
24,24,56,63,56,24,0
25,49,14,19,14,14,0
26,62,54,61,54,54,0
27,55,30,0,30,30,0
28,8,58,3,58,8,0
29,29,51,22,51,51,0
30,5,49,60,49,49,0
31,62,16,0,16,16,0
32,18,23,28,23,23,0
33,31,21,27,21,21,0
34,56,44,16,44,44,0
35,31,14,60,14,31,0
36,60,58,50,58,60,0
37,5,62,39,62,39,1
38,51,10,45,10,51,0
39,48,52,42,52,52,0
40,55,59,31,59,55,0
41,62,53,18,53,53,0
42,60,9,7,9,9,0
43,50,20,46,20,20,0
44,15,19,28,19,19,0
45,17,41,8,41,41,0
46,0,51,24,51,51,0
47,18,48,44,48,18,0
48,13,56,38,56,13,0
49,60,10,49,10,10,0
50,61,62,10,62,61,0
51,6,47,52,47,47,0
52,7,0,43,0,0,0
53,18,30,42,30,30,0
54,30,45,28,45,45,0
55,45,42,5,42,42,0
56,19,27,18,27,27,0
57,48,12,3,12,48,0
58,41,6,59,6,6,0
59,26,33,17,33,33,0
60,32,54,42,54,54,0
61,60,16,42,16,16,0
62,24,50,40,50,50,0
63,40,30,23,30,30,0
64,37,0,9,0,0,0
65,38,18,23,18,18,0
66,56,54,63,54,54,0
67,41,29,36,29,29,0
68,34,7,1,7,7,0
69,49,39,1,39,49,0
70,45,46,11,46,45,0
71,57,41,61,41,61,1
72,25,45,28,45,45,0
73,36,42,59,42,42,0
74,40,25,16,25,25,0
75,53,11,12,11,53,0
76,25,52,1,52,52,0
77,49,44,9,44,44,0
78,8,14,3,14,14,0
79,17,47,59,47,47,0
80,56,14,16,14,14,0
81,10,31,44,31,31,0
82,39,6,5,6,6,0
83,37,8,11,8,8,0
84,21,52,42,52,52,0
85,29,55,40,55,55,0
86,25,58,47,58,25,0
87,41,7,62,7,7,0
88,2,55,37,55,55,0
89,43,51,21,51,51,0
90,52,14,34,14,14,0
91,58,46,3,46,3,1
92,9,21,63,21,21,0
93,12,41,39,41,39,1
94,49,31,33,31,31,0
95,32,2,29,2,2,0
96,11,38,14,38,38,0
97,8,60,1,60,1,1
98,46,54,33,54,54,0
99,13,9,52,9,13,0
100,22,42,26,42,42,0
101,47,14,21,14,47,0
102,20,3,23,3,3,0
103,54,63,47,63,47,1
104,7,16,0,16,16,0
105,58,12,23,12,58,0
106,17,47,14,47,47,0
107,35,19,51,19,35,0
108,16,45,32,45,32,1
109,36,14,4,14,14,0
110,4,40,25,40,40,0
111,53,63,43,63,53,0
112,45,53,49,53,53,0
113,14,1,63,1,1,0
114,63,42,59,42,42,0
115,62,56,57,56,57,1
116,42,54,33,54,54,0
117,10,4,20,4,10,0
118,49,2,33,2,2,0
119,22,23,37,23,23,0
120,55,16,62,16,16,0
121,1,5,57,5,1,0
122,3,55,53,55,3,0
123,8,9,43,9,8,0
124,8,43,51,43,43,0
125,59,8,27,8,27,1
126,16,39,49,39,49,1
127,47,37,41,37,47,0
128,10,52,51,52,52,0
129,28,37,14,37,37,0
130,22,46,26,46,46,0
131,22,18,48,18,18,0
132,11,14,59,14,14,0
133,61,59,33,59,61,0
134,50,24,40,24,24,0
135,40,55,16,55,16,1
136,16,56,25,56,56,0
137,35,54,62,54,54,0
138,25,16,61,16,16,0
139,48,0,53,0,0,0
140,49,21,59,21,21,0
141,30,11,38,11,30,0
142,37,7,26,7,7,0
143,8,25,56,25,25,0
144,12,63,9,63,9,1
145,3,6,30,6,3,0
146,32,7,41,7,7,0
147,22,14,51,14,14,0
148,38,54,56,54,54,0
149,3,19,20,19,3,0
150,33,5,49,49,5,0
151,36,55,15,55,15,1
152,14,6,18,6,6,0
153,22,17,61,17,22,0
154,0,27,20,27,27,0
155,50,58,63,58,50,0
156,13,22,63,22,13,0
157,30,46,56,46,56,1
158,44,33,29,33,33,0
159,49,54,4,54,49,0
