episode,query_idx,key,value,pred,correct,rank
0,0,63,30,32,0,15
0,1,39,0,32,0,3
0,2,32,23,32,0,2
0,3,47,53,32,0,10
0,4,49,41,32,0,5
0,5,35,60,32,0,2
0,6,44,32,32,1,1
0,7,46,39,39,1,1
1,0,35,31,2,0,7
1,1,22,39,59,0,7
1,2,42,57,2,0,5
1,3,8,22,2,0,5
1,4,6,60,59,0,4
1,5,50,13,59,0,25
1,6,37,7,59,0,3
1,7,59,2,2,1,1
2,0,6,40,9,0,22
2,1,26,22,9,0,6
2,2,42,23,9,0,10
2,3,9,24,24,1,1
2,4,50,54,0,0,5
2,5,0,48,60,0,4
2,6,35,33,60,0,3
2,7,60,63,63,1,1
3,0,35,10,22,0,2
3,1,31,46,22,0,5
3,2,10,45,22,0,19
3,3,1,30,47,0,4
3,4,23,32,22,0,3
3,5,47,62,10,0,3
3,6,58,19,22,0,2
3,7,22,23,10,0,2
4,0,4,36,42,0,11
4,1,19,52,42,0,4
4,2,7,61,42,0,20
4,3,27,45,56,0,8
4,4,54,15,42,0,4
4,5,56,10,42,0,2
4,6,42,25,56,0,5
4,7,6,42,42,1,1
5,0,54,29,37,0,7
5,1,44,7,37,0,7
5,2,57,33,37,0,6
5,3,32,20,37,0,4
5,4,3,37,37,1,1
5,5,43,37,47,0,2
5,6,26,30,47,0,3
5,7,12,47,47,1,1
6,0,1,61,61,1,1
6,1,19,6,61,0,9
6,2,2,61,61,1,1
6,3,8,9,24,0,9
6,4,18,8,34,0,8
6,5,24,7,34,0,2
6,6,14,48,34,0,5
6,7,25,34,34,1,1
7,0,50,44,20,0,9
7,1,48,20,20,1,1
7,2,21,20,29,0,7
7,3,16,28,29,0,6
7,4,23,48,22,0,11
7,5,31,9,9,1,1
7,6,59,15,29,0,5
7,7,22,29,29,1,1
8,0,57,9,7,0,7
8,1,7,11,40,0,8
8,2,40,47,50,0,11
8,3,50,42,7,0,10
8,4,28,7,40,0,3
8,5,31,50,50,1,1
8,6,36,25,40,0,3
8,7,53,40,40,1,1
9,0,56,27,35,0,4
9,1,25,22,3,0,24
9,2,8,35,35,1,1
9,3,39,5,3,0,8
9,4,16,38,11,0,6
9,5,44,24,11,0,5
9,6,51,3,11,0,2
9,7,11,6,44,0,3
10,0,3,12,37,0,4
10,1,24,54,37,0,2
10,2,37,13,27,0,14
10,3,25,18,60,0,4
10,4,27,62,40,0,3
10,5,39,40,40,1,1
10,6,29,52,60,0,3
10,7,9,60,60,1,1
11,0,62,17,5,0,12
11,1,5,56,52,0,11
11,2,15,36,19,0,8
11,3,43,37,19,0,6
11,4,19,16,16,1,1
11,5,24,52,52,1,1
11,6,49,37,34,0,20
11,7,36,34,34,1,1
12,0,16,23,31,0,5
12,1,17,26,2,0,7
12,2,62,2,2,1,1
12,3,35,2,60,0,4
12,4,60,31,31,1,1
12,5,53,40,57,0,2
12,6,30,57,57,1,1
12,7,31,60,60,1,1
13,0,6,28,33,0,5
13,1,46,61,33,0,11
13,2,32,33,33,1,1
13,3,33,59,15,0,3
13,4,41,19,29,0,14
13,5,62,29,29,1,1
13,6,14,23,15,0,4
13,7,40,15,33,0,2
14,0,46,63,55,0,7
14,1,2,23,55,0,6
14,2,55,20,1,0,3
14,3,21,1,1,1,1
14,4,12,55,60,0,2
14,5,41,34,60,0,10
14,6,60,3,0,0,3
14,7,0,28,55,0,19
15,0,50,2,2,1,1
15,1,31,54,60,0,2
15,2,22,60,60,1,1
15,3,17,8,61,0,10
15,4,20,61,61,1,1
15,5,61,47,54,0,3
15,6,9,21,60,0,6
15,7,60,54,54,1,1
16,0,50,49,32,0,17
16,1,31,51,32,0,4
16,2,54,6,32,0,2
16,3,36,58,32,0,12
16,4,24,48,46,0,38
16,5,17,32,46,0,2
16,6,22,31,46,0,2
16,7,46,50,50,1,1
17,0,6,3,5,0,4
17,1,38,26,5,0,14
17,2,37,22,5,0,2
17,3,5,2,6,0,13
17,4,48,12,36,0,4
17,5,21,5,5,1,1
17,6,17,45,36,0,3
17,7,36,32,32,1,1
18,0,63,43,15,0,2
18,1,25,37,15,0,2
18,2,0,22,22,1,1
18,3,10,13,15,0,9
18,4,18,62,15,0,6
18,5,3,41,41,1,1
18,6,14,10,12,0,3
18,7,12,15,15,1,1
19,0,46,0,12,0,12
19,1,60,49,6,0,2
19,2,52,12,6,0,3
19,3,23,6,27,0,2
19,4,6,49,27,0,4
19,5,50,27,27,1,1
19,6,9,63,63,1,1
19,7,38,7,7,1,1
20,0,51,44,62,0,3
20,1,17,31,62,0,5
20,2,50,54,62,0,3
20,3,60,62,62,1,1
20,4,28,34,62,0,14
20,5,27,62,62,1,1
20,6,47,11,11,1,1
20,7,23,40,40,1,1
21,0,62,26,11,0,5
21,1,63,60,11,0,16
21,2,11,53,57,0,7
21,3,40,3,57,0,7
21,4,57,11,11,1,1
21,5,8,54,21,0,2
21,6,15,51,21,0,2
21,7,21,57,57,1,1
22,0,44,52,11,0,7
22,1,11,56,60,0,4
22,2,59,26,8,0,7
22,3,7,54,54,1,1
22,4,18,13,60,0,19
22,5,60,9,17,0,8
22,6,46,17,61,0,2
22,7,61,8,8,1,1
23,0,29,44,34,0,26
23,1,34,12,21,0,15
23,2,16,56,52,0,4
23,3,36,30,21,0,13
23,4,25,21,52,0,5
23,5,20,37,52,0,4
23,6,52,60,19,0,2
23,7,19,14,30,0,2
24,0,8,22,22,1,1
24,1,25,11,22,0,13
24,2,2,47,22,0,2
24,3,18,3,22,0,4
24,4,45,42,22,0,2
24,5,35,10,22,0,3
24,6,32,22,22,1,1
24,7,22,20,20,1,1
