episode,k1,k2,v,pred1,pred2,correct
0,11,43,9,43,43,0
1,12,3,23,3,3,0
2,7,43,4,43,43,0
3,60,32,3,32,3,1
4,56,37,62,37,62,1
5,61,46,34,46,34,1
6,24,21,6,21,12,0
7,7,20,28,20,28,1
8,25,18,54,18,54,1
9,6,46,13,46,13,1
10,53,47,58,47,47,0
11,34,25,28,25,28,1
12,40,45,5,45,5,1
13,61,51,45,51,51,0
14,55,3,48,3,3,0
15,37,55,33,55,33,1
16,30,3,38,3,3,0
17,5,6,20,6,20,1
18,63,37,61,37,61,1
19,8,26,15,26,8,0
20,36,48,28,28,48,0
21,48,37,43,37,43,1
22,30,61,44,61,61,0
23,57,3,59,3,59,1
24,9,56,12,56,12,1
25,52,40,32,40,32,1
26,49,12,17,12,12,0
27,49,6,47,6,47,1
28,59,29,56,29,29,0
29,48,14,4,14,4,1
30,25,23,60,23,60,1
31,18,20,57,20,57,1
32,26,43,4,43,43,0
33,51,26,23,26,23,1
34,38,26,33,26,12,0
35,3,14,58,14,58,1
36,21,8,3,8,8,0
37,27,29,19,29,29,0
38,56,8,0,8,8,0
39,42,47,57,47,57,1
40,58,0,10,0,10,1
41,20,15,32,15,15,0
42,9,37,2,37,2,1
43,36,52,3,52,3,1
44,9,46,37,46,46,0
45,10,29,38,29,29,0
46,45,51,34,51,34,1
47,46,49,52,49,49,0
48,58,14,17,14,17,1
49,1,16,59,16,16,0
50,4,49,52,49,49,0
51,52,13,27,13,13,0
52,7,59,14,59,59,0
53,39,63,11,63,11,1
54,11,14,50,14,50,1
55,12,62,53,62,53,1
56,58,9,7,9,9,0
57,36,38,21,38,21,1
58,12,17,19,17,17,0
59,38,34,0,34,34,0
60,59,5,41,5,5,0
61,20,22,40,22,22,0
62,27,17,36,17,17,0
63,3,7,26,7,26,1
64,4,25,34,25,34,1
65,5,28,61,28,28,0
66,61,38,18,38,18,1
67,55,35,2,35,35,0
68,50,42,33,42,33,1
69,13,33,26,33,12,0
70,39,26,48,26,48,1
71,60,39,54,39,39,0
72,42,62,31,62,31,1
73,39,22,52,22,22,0
74,60,16,39,16,16,0
75,26,39,36,39,39,0
76,11,13,37,13,13,0
77,29,49,59,49,59,1
78,55,41,8,8,41,0
79,14,63,45,63,45,1
80,28,14,17,14,17,1
81,54,36,28,36,28,1
82,61,58,62,58,62,1
83,40,21,58,21,58,1
84,11,2,25,2,25,1
85,28,36,26,36,36,0
86,40,48,1,48,48,0
87,59,21,18,21,18,1
88,59,17,22,17,17,0
89,56,11,59,11,11,0
90,62,34,33,34,34,0
91,55,20,62,20,20,0
92,62,59,40,59,40,1
93,45,43,36,43,43,0
94,59,0,25,0,0,0
95,23,29,31,29,29,0
96,35,13,24,13,13,0
97,49,56,58,56,58,1
98,52,53,44,53,53,0
99,1,57,21,57,57,0
100,22,47,31,47,47,0
101,45,21,24,21,24,1
102,37,49,2,49,49,0
103,47,40,6,40,6,1
104,62,21,0,21,0,1
105,52,44,21,44,44,0
106,14,8,39,8,8,0
107,21,16,5,16,16,0
108,31,2,19,2,19,1
109,5,1,41,1,1,0
110,41,43,12,43,12,1
111,51,62,12,62,12,1
112,4,20,39,20,39,1
113,39,16,7,16,16,0
114,44,58,12,58,12,1
115,3,56,33,56,33,1
116,39,57,33,57,57,0
117,46,16,25,16,16,0
118,53,57,8,57,8,1
119,0,49,6,49,6,1
120,4,13,7,13,13,0
121,21,28,44,28,28,0
122,18,6,32,6,6,0
123,23,59,56,59,56,1
124,31,5,59,5,5,0
125,13,51,63,51,13,0
126,26,51,40,51,51,0
127,8,2,5,2,8,0
128,50,62,19,62,19,1
129,59,26,23,26,23,1
130,33,31,30,31,30,1
131,62,30,48,30,30,0
132,2,14,42,14,42,1
133,58,52,49,52,49,1
134,43,59,14,59,14,1
135,36,23,43,23,43,1
136,49,17,40,17,17,0
137,42,15,60,15,15,0
138,49,41,51,41,51,1
139,60,58,27,58,58,0
140,36,48,32,48,32,1
141,30,11,24,11,11,0
142,37,40,25,40,25,1
143,21,38,34,38,34,1
144,53,54,33,54,54,0
145,62,11,36,11,11,0
146,48,34,7,34,34,0
147,17,34,46,34,46,1
148,53,46,51,46,51,1
149,13,48,0,48,0,1
150,17,28,46,28,28,0
151,14,25,40,25,25,0
152,38,23,44,23,23,0
153,12,1,39,1,39,1
154,16,3,44,3,3,0
155,53,50,63,50,50,0
156,0,19,42,19,42,1
157,44,55,34,55,34,1
158,53,30,0,30,0,1
159,52,47,3,47,3,1
160,28,51,48,51,51,0
161,59,19,37,19,19,0
162,41,17,1,17,17,0
163,21,5,0,5,0,1
164,20,40,8,8,40,0
165,42,35,2,35,35,0
166,56,28,30,28,28,0
167,0,30,28,30,28,1
168,35,43,23,43,23,1
169,21,42,29,42,29,1
170,15,44,45,44,45,1
171,28,58,43,58,43,1
172,45,38,31,38,31,1
173,32,9,47,9,47,1
174,28,14,19,14,28,0
175,54,15,16,15,16,1
176,21,5,28,5,28,1
177,32,41,26,41,26,1
178,52,33,2,33,33,0
179,49,46,62,46,46,0
180,17,54,43,54,54,0
181,14,60,62,60,62,1
182,31,44,51,44,51,1
183,44,0,8,0,8,1
184,46,30,32,30,30,0
185,55,2,60,2,2,0
186,61,36,42,36,36,0
187,4,48,38,48,38,1
188,14,47,58,47,47,0
189,23,54,18,54,54,0
190,52,33,35,33,35,1
191,50,26,22,26,22,1
192,23,0,30,0,30,1
193,10,3,42,3,10,0
194,20,45,2,45,45,0
195,6,7,50,7,50,1
196,20,60,34,60,34,1
197,39,45,62,45,62,1
198,34,6,43,6,43,1
199,41,39,21,39,39,0
