episode,query_idx,key,value,pred,correct,rank
0,0,8,61,15,0,5
0,1,18,15,15,1,1
0,2,21,59,15,0,3
0,3,30,35,15,0,5
0,4,0,4,29,0,2
0,5,31,29,46,0,2
0,6,53,46,46,1,1
0,7,15,63,63,1,1
1,0,10,15,45,0,6
1,1,63,7,45,0,3
1,2,61,1,45,0,3
1,3,3,45,45,1,1
1,4,6,34,41,0,4
1,5,38,18,41,0,4
1,6,58,45,41,0,2
1,7,41,33,33,1,1
2,0,17,30,30,1,1
2,1,55,35,30,0,18
2,2,27,19,30,0,8
2,3,57,63,30,0,3
2,4,30,38,50,0,2
2,5,42,54,50,0,4
2,6,59,50,5,0,2
2,7,5,27,27,1,1
3,0,21,1,55,0,6
3,1,27,42,55,0,13
3,2,49,30,35,0,3
3,3,41,55,55,1,1
3,4,19,14,35,0,2
3,5,35,2,4,0,5
3,6,44,4,4,1,1
3,7,5,23,23,1,1
4,0,2,54,33,0,2
4,1,45,25,29,0,10
4,2,3,10,33,0,4
4,3,30,18,33,0,5
4,4,21,13,33,0,4
4,5,26,33,29,0,2
4,6,58,29,29,1,1
4,7,11,17,17,1,1
5,0,55,44,58,0,14
5,1,58,9,58,0,11
5,2,61,40,58,0,4
5,3,37,49,14,0,5
5,4,29,58,36,0,2
5,5,7,8,43,0,3
5,6,36,59,59,1,1
5,7,43,14,14,1,1
6,0,14,61,34,0,3
6,1,27,53,34,0,8
6,2,28,27,34,0,4
6,3,15,9,34,0,3
6,4,61,45,34,0,2
6,5,58,34,34,1,1
6,6,42,1,34,0,2
6,7,46,34,34,1,1
7,0,16,2,3,0,14
7,1,31,49,3,0,6
7,2,60,46,3,0,9
7,3,50,53,3,0,6
7,4,59,27,3,0,7
7,5,29,4,19,0,5
7,6,15,36,19,0,3
7,7,3,19,19,1,1
8,0,46,52,59,0,2
8,1,48,59,59,1,1
8,2,61,59,7,0,2
8,3,24,10,7,0,7
8,4,7,19,19,1,1
8,5,59,13,37,0,2
8,6,27,41,37,0,2
8,7,1,37,37,1,1
9,0,9,35,35,1,1
9,1,43,41,35,0,10
9,2,48,52,63,0,10
9,3,26,45,49,0,7
9,4,56,21,63,0,7
9,5,3,5,63,0,5
9,6,63,35,35,1,1
9,7,22,49,49,1,1
10,0,51,44,50,0,10
10,1,63,27,56,0,4
10,2,38,21,56,0,8
10,3,12,47,53,0,4
10,4,50,6,46,0,5
10,5,46,0,53,0,5
10,6,37,3,53,0,2
10,7,53,56,56,1,1
11,0,61,56,59,0,11
11,1,40,59,59,1,1
11,2,62,36,53,0,2
11,3,42,17,14,0,4
11,4,12,53,44,0,2
11,5,14,59,44,0,5
11,6,44,35,51,0,2
11,7,51,39,39,1,1
12,0,20,48,13,0,10
12,1,56,43,13,0,8
12,2,40,13,13,1,1
12,3,14,5,13,0,3
12,4,24,40,13,0,6
12,5,16,13,13,1,1
12,6,47,13,4,0,3
12,7,4,25,25,1,1
13,0,32,16,16,1,1
13,1,42,17,61,0,9
13,2,63,5,61,0,2
13,3,22,19,61,0,3
13,4,18,52,61,0,7
13,5,61,3,3,1,1
13,6,58,43,29,0,3
13,7,29,55,55,1,1
14,0,55,49,45,0,15
14,1,42,12,59,0,7
14,2,53,59,30,0,4
14,3,58,45,30,0,4
14,4,36,47,30,0,6
14,5,30,24,7,0,5
14,6,11,21,7,0,2
14,7,7,19,19,1,1
15,0,4,2,5,0,6
15,1,25,42,5,0,10
15,2,3,1,5,0,6
15,3,40,10,5,0,4
15,4,23,5,5,1,1
15,5,5,23,7,0,3
15,6,19,7,7,1,1
15,7,58,61,61,1,1
16,0,37,13,60,0,7
16,1,23,38,60,0,11
16,2,26,60,60,1,1
16,3,6,10,10,1,1
16,4,20,7,35,0,5
16,5,8,24,53,0,3
16,6,15,35,53,0,2
16,7,53,12,12,1,1
17,0,10,5,42,0,3
17,1,7,42,42,1,1
17,2,16,25,31,0,4
17,3,42,17,31,0,3
17,4,54,62,31,0,3
17,5,44,24,31,0,4
17,6,31,14,61,0,3
17,7,61,52,52,1,1
18,0,63,35,53,0,8
18,1,47,53,53,1,1
18,2,49,37,2,0,4
18,3,44,63,10,0,3
18,4,58,4,10,0,5
18,5,23,6,10,0,4
18,6,53,2,2,1,1
18,7,10,17,17,1,1
19,0,49,5,30,0,15
19,1,53,3,30,0,9
19,2,32,26,26,1,1
19,3,10,18,30,0,3
19,4,62,63,30,0,4
19,5,30,35,59,0,4
19,6,7,59,47,0,3
19,7,47,54,54,1,1
20,0,37,3,0,0,6
20,1,1,0,16,0,5
20,2,17,50,59,0,6
20,3,36,16,16,1,1
20,4,9,13,59,0,5
20,5,29,18,59,0,3
20,6,22,15,59,0,2
20,7,32,59,59,1,1
21,0,2,39,19,0,4
21,1,43,19,19,1,1
21,2,52,13,7,0,7
21,3,17,36,7,0,5
21,4,19,7,7,1,1
21,5,31,53,60,0,2
21,6,21,7,60,0,3
21,7,60,12,12,1,1
22,0,22,5,10,0,6
22,1,30,12,10,0,4
22,2,25,22,10,0,6
22,3,6,25,10,0,7
22,4,21,50,10,0,6
22,5,28,10,10,1,1
22,6,10,62,36,0,3
22,7,9,36,36,1,1
23,0,31,34,6,0,10
23,1,23,3,6,0,11
23,2,43,45,6,0,4
23,3,9,1,6,0,6
23,4,56,6,6,1,1
23,5,52,37,38,0,4
23,6,38,15,41,0,2
23,7,8,41,41,1,1
24,0,23,33,61,0,3
24,1,38,39,61,0,9
24,2,10,48,61,0,2
24,3,54,32,61,0,7
24,4,26,12,61,0,6
24,5,19,61,61,1,1
24,6,21,59,55,0,2
24,7,43,55,55,1,1
25,0,33,12,12,1,1
25,1,16,13,26,0,9
25,2,31,44,44,1,1
25,3,55,53,26,0,6
25,4,12,10,26,0,3
25,5,26,7,7,1,1
25,6,21,3,37,0,3
25,7,37,40,40,1,1
26,0,30,63,55,0,3
26,1,39,0,55,0,8
26,2,63,62,55,0,2
26,3,38,32,55,0,3
26,4,14,2,55,0,2
26,5,45,22,55,0,3
26,6,5,55,55,1,1
26,7,28,55,55,1,1
27,0,31,43,8,0,12
27,1,45,23,8,0,8
27,2,58,41,8,0,2
27,3,41,55,8,0,4
27,4,24,36,8,0,5
27,5,21,8,8,1,1
27,6,49,8,8,1,1
27,7,8,38,38,1,1
28,0,15,14,58,0,4
28,1,17,10,58,0,8
28,2,20,13,15,0,6
28,3,9,6,58,0,9
28,4,45,28,32,0,6
28,5,58,15,32,0,2
28,6,53,0,32,0,3
28,7,32,24,24,1,1
29,0,41,10,10,1,1
29,1,56,9,63,0,4
29,2,19,1,23,0,6
29,3,33,53,23,0,4
29,4,43,26,23,0,5
29,5,11,22,63,0,4
29,6,25,23,23,1,1
29,7,42,63,63,1,1
30,0,32,31,6,0,13
30,1,23,6,58,0,2
30,2,35,27,58,0,2
30,3,57,3,58,0,6
30,4,58,43,4,0,6
30,5,6,29,4,0,4
30,6,55,58,4,0,3
30,7,48,4,4,1,1
31,0,15,23,16,0,14
31,1,47,33,16,0,9
31,2,60,16,16,1,1
31,3,45,12,1,0,9
31,4,55,1,1,1,1
31,5,16,56,19,0,2
31,6,49,52,52,1,1
31,7,37,19,19,1,1
32,0,37,16,20,0,10
32,1,53,60,20,0,7
32,2,20,57,59,0,4
32,3,12,20,59,0,6
32,4,36,49,59,0,6
32,5,15,59,59,1,1
32,6,40,47,2,0,3
32,7,55,2,2,1,1
33,0,4,46,24,0,4
33,1,63,2,31,0,8
33,2,13,14,31,0,4
33,3,3,40,31,0,6
33,4,1,24,31,0,3
33,5,57,53,31,0,3
33,6,43,62,31,0,3
33,7,31,21,21,1,1
34,0,29,0,26,0,12
34,1,17,31,26,0,3
34,2,21,26,26,1,1
34,3,26,45,1,0,4
34,4,16,1,1,1,1
34,5,3,55,7,0,5
34,6,34,63,18,0,2
34,7,7,18,18,1,1
35,0,8,16,50,0,2
35,1,16,13,50,0,13
35,2,17,62,50,0,5
35,3,44,52,50,0,5
35,4,11,24,50,0,3
35,5,56,46,50,0,3
35,6,50,30,30,1,1
35,7,39,63,63,1,1
36,0,63,20,20,1,1
36,1,61,48,20,0,7
36,2,20,60,11,0,10
36,3,11,37,34,0,4
36,4,40,20,34,0,4
36,5,14,34,34,1,1
36,6,27,38,38,1,1
36,7,44,29,29,1,1
37,0,49,53,11,0,11
37,1,14,40,11,0,2
37,2,22,57,11,0,9
37,3,26,7,11,0,8
37,4,47,51,11,0,3
37,5,36,29,11,0,2
37,6,40,11,11,1,1
37,7,4,21,21,1,1
38,0,60,14,29,0,4
38,1,9,3,29,0,5
38,2,38,27,29,0,5
38,3,54,23,29,0,8
38,4,52,4,29,0,5
38,5,18,7,29,0,3
38,6,58,29,29,1,1
38,7,32,29,29,1,1
39,0,1,7,7,1,1
39,1,2,63,47,0,9
39,2,36,44,47,0,8
39,3,32,8,16,0,9
39,4,16,41,47,0,7
39,5,26,47,59,0,2
39,6,29,59,59,1,1
39,7,61,52,52,1,1
40,0,23,55,51,0,8
40,1,51,38,41,0,3
40,2,25,8,41,0,9
40,3,26,23,20,0,9
40,4,41,20,20,1,1
40,5,49,21,51,0,3
40,6,35,51,51,1,1
40,7,17,24,24,1,1
41,0,7,58,7,0,2
41,1,27,33,7,0,11
41,2,15,7,7,1,1
41,3,40,11,4,0,2
41,4,4,59,24,0,2
41,5,24,7,35,0,25
41,6,35,42,43,0,2
41,7,43,29,29,1,1
42,0,57,35,0,0,7
42,1,48,49,0,0,7
42,2,0,53,32,0,6
42,3,36,40,32,0,3
42,4,59,23,32,0,2
42,5,32,0,5,0,5
42,6,28,58,5,0,2
42,7,5,17,17,1,1
43,0,29,55,4,0,10
43,1,23,53,4,0,8
43,2,31,36,32,0,3
43,3,57,20,49,0,7
43,4,32,48,38,0,7
43,5,45,4,38,0,3
43,6,38,49,5,0,2
43,7,7,5,5,1,1
44,0,49,62,14,0,12
44,1,29,26,14,0,12
44,2,14,41,11,0,9
44,3,32,27,27,1,1
44,4,31,17,49,0,7
44,5,11,9,1,0,3
44,6,23,49,1,0,2
44,7,48,1,1,1,1
45,0,54,1,1,1,1
45,1,7,36,16,0,13
45,2,18,3,16,0,6
45,3,12,53,16,0,8
45,4,43,33,16,0,4
45,5,49,16,16,1,1
45,6,6,0,4,0,2
45,7,62,4,4,1,1
46,0,51,3,20,0,6
46,1,5,62,20,0,12
46,2,59,63,49,0,4
46,3,33,4,49,0,2
46,4,20,42,49,0,3
46,5,23,24,49,0,4
46,6,14,49,49,1,1
46,7,32,15,15,1,1
47,0,0,18,18,1,1
47,1,56,39,13,0,5
47,2,43,13,45,0,3
47,3,18,16,8,0,8
47,4,45,30,8,0,4
47,5,12,8,8,1,1
47,6,27,36,36,1,1
47,7,4,24,24,1,1
48,0,48,0,39,0,9
48,1,2,54,39,0,10
48,2,53,39,39,1,1
48,3,52,45,37,0,8
48,4,50,37,46,0,4
48,5,47,27,46,0,4
48,6,60,46,46,1,1
48,7,21,56,56,1,1
49,0,59,21,2,0,12
49,1,58,62,2,0,2
49,2,2,48,7,0,8
49,3,63,57,7,0,8
49,4,27,44,7,0,2
49,5,22,61,7,0,4
49,6,28,55,7,0,2
49,7,37,7,7,1,1
50,0,1,60,60,1,1
50,1,26,60,29,0,7
50,2,11,19,29,0,7
50,3,29,52,36,0,4
50,4,47,59,36,0,2
50,5,7,15,36,0,5
50,6,16,29,36,0,3
50,7,36,48,48,1,1
51,0,37,51,58,0,13
51,1,58,52,25,0,8
51,2,28,25,25,1,1
51,3,10,29,0,0,3
51,4,22,0,32,0,5
51,5,30,48,32,0,5
51,6,31,58,32,0,3
51,7,19,32,32,1,1
52,0,9,22,43,0,14
52,1,31,14,43,0,4
52,2,5,38,43,0,6
52,3,8,18,43,0,6
52,4,0,43,43,1,1
52,5,61,2,2,1,1
52,6,7,43,43,1,1
52,7,54,45,45,1,1
53,0,43,8,52,0,6
53,1,51,4,52,0,6
53,2,35,37,52,0,3
53,3,47,7,44,0,3
53,4,58,44,52,0,2
53,5,45,50,52,0,3
53,6,9,52,52,1,1
53,7,39,5,5,1,1
54,0,3,63,63,1,1
54,1,45,53,63,0,2
54,2,21,63,63,1,1
54,3,52,3,32,0,7
54,4,32,58,58,1,1
54,5,63,7,35,0,5
54,6,40,57,35,0,2
54,7,53,35,35,1,1
55,0,59,2,36,0,10
55,1,53,7,36,0,6
55,2,10,36,36,1,1
55,3,12,22,23,0,6
55,4,23,36,36,1,1
55,5,34,9,42,0,3
55,6,42,23,55,0,2
55,7,55,36,36,1,1
56,0,22,1,1,1,1
56,1,1,59,49,0,10
56,2,33,54,61,0,6
56,3,49,2,2,1,1
56,4,29,53,61,0,2
56,5,12,63,61,0,4
56,6,61,39,39,1,1
56,7,4,28,28,1,1
57,0,42,3,19,0,2
57,1,49,29,19,0,8
57,2,45,19,19,1,1
57,3,58,19,19,1,1
57,4,54,24,51,0,7
57,5,51,3,25,0,4
57,6,18,25,25,1,1
57,7,19,43,43,1,1
58,0,51,5,17,0,22
58,1,17,19,45,0,6
58,2,55,17,45,0,3
58,3,39,45,45,1,1
58,4,2,46,41,0,7
58,5,49,9,41,0,5
58,6,35,41,31,0,2
58,7,31,44,44,1,1
59,0,26,61,2,0,3
59,1,49,43,2,0,14
59,2,59,32,2,0,2
59,3,2,21,38,0,3
59,4,3,52,5,0,3
59,5,5,42,37,0,3
59,6,37,38,63,0,2
59,7,30,63,63,1,1
60,0,43,6,12,0,8
60,1,22,46,46,1,1
60,2,54,12,12,1,1
60,3,8,33,58,0,2
60,4,15,11,12,0,7
60,5,57,12,56,0,4
60,6,49,56,56,1,1
60,7,58,46,46,1,1
61,0,41,44,38,0,5
61,1,36,22,38,0,7
61,2,39,7,38,0,11
61,3,38,45,51,0,3
61,4,35,51,51,1,1
61,5,42,52,38,0,3
61,6,60,38,5,0,2
61,7,21,5,5,1,1
62,0,8,41,12,0,2
62,1,59,62,12,0,11
62,2,16,2,12,0,6
62,3,12,11,12,0,9
62,4,63,18,52,0,3
62,5,57,31,52,0,5
62,6,56,12,19,0,2
62,7,52,19,19,1,1
63,0,38,39,48,0,11
63,1,52,48,48,1,1
63,2,1,18,42,0,8
63,3,37,48,42,0,6
63,4,42,12,32,0,3
63,5,9,32,32,1,1
63,6,28,58,58,1,1
63,7,43,4,4,1,1
64,0,35,2,60,0,9
64,1,25,40,60,0,4
64,2,60,57,62,0,7
64,3,28,62,62,1,1
64,4,61,60,60,1,1
64,5,43,60,30,0,3
64,6,31,62,30,0,2
64,7,19,30,30,1,1
65,0,3,12,62,0,7
65,1,62,35,16,0,4
65,2,16,2,32,0,2
65,3,56,40,32,0,4
65,4,32,60,23,0,3
65,5,58,43,23,0,2
65,6,1,41,23,0,2
65,7,61,23,23,1,1
