episode,query_idx,key,value,pred,correct,rank
0,0,32,57,64,0,9
0,1,16,29,64,0,19
0,2,45,27,64,0,6
0,3,4,23,64,0,25
0,4,17,15,64,0,5
0,5,35,34,64,0,7
0,6,36,38,64,0,5
0,7,19,34,64,0,24
0,8,10,0,64,0,3
0,9,0,57,64,0,19
0,10,27,16,64,0,16
0,11,5,25,64,0,14
0,12,7,63,64,0,12
0,13,13,62,64,0,5
0,14,40,11,64,0,12
0,15,46,42,64,0,13
1,0,12,21,64,0,36
1,1,19,30,64,0,4
1,2,5,54,64,0,7
1,3,45,25,64,0,35
1,4,11,61,64,0,9
1,5,4,12,64,0,28
1,6,58,28,64,0,13
1,7,17,1,64,0,20
1,8,31,0,64,0,10
1,9,39,30,64,0,3
1,10,26,30,64,0,4
1,11,34,48,64,0,14
1,12,36,45,64,0,3
1,13,32,11,64,0,16
1,14,38,30,64,0,5
1,15,24,45,64,0,3
2,0,25,42,64,0,28
2,1,51,27,64,0,7
2,2,58,37,64,0,11
2,3,1,57,64,0,35
2,4,24,21,64,0,21
2,5,23,28,64,0,3
2,6,35,10,64,0,18
2,7,18,20,64,0,7
2,8,59,26,64,0,28
2,9,28,13,64,0,4
2,10,62,19,64,0,21
2,11,16,52,64,0,8
2,12,5,29,64,0,3
2,13,9,3,64,0,9
2,14,53,23,64,0,7
2,15,8,29,64,0,4
3,0,5,46,64,0,15
3,1,22,17,64,0,22
3,2,6,62,64,0,8
3,3,58,14,64,0,31
3,4,60,11,64,0,13
3,5,53,25,64,0,37
3,6,12,50,64,0,13
3,7,20,26,64,0,6
3,8,54,12,64,0,9
3,9,49,6,64,0,7
3,10,39,58,64,0,19
3,11,34,59,64,0,3
3,12,21,20,64,0,5
3,13,62,39,64,0,5
3,14,1,45,64,0,7
3,15,29,26,64,0,7
4,0,13,59,64,0,23
4,1,21,53,64,0,29
4,2,38,26,64,0,8
4,3,36,17,64,0,28
4,4,26,40,64,0,23
4,5,27,36,64,0,5
4,6,52,8,64,0,7
4,7,56,13,64,0,18
4,8,2,7,64,0,34
4,9,45,44,64,0,4
4,10,9,42,64,0,6
4,11,37,10,64,0,13
4,12,3,16,64,0,4
4,13,44,55,64,0,24
4,14,5,27,64,0,3
4,15,33,49,64,0,10
5,0,16,12,64,0,10
5,1,1,48,64,0,36
5,2,44,15,64,0,3
5,3,5,29,64,0,35
5,4,2,52,64,0,11
5,5,45,21,64,0,27
5,6,13,42,64,0,22
5,7,4,2,64,0,8
5,8,36,31,64,0,29
5,9,18,9,64,0,11
5,10,27,40,64,0,16
5,11,55,46,64,0,4
5,12,28,15,64,0,3
5,13,15,44,64,0,7
5,14,53,7,64,0,32
5,15,12,30,64,0,16
6,0,13,52,64,0,5
6,1,40,16,64,0,15
6,2,63,37,64,0,10
6,3,4,34,64,0,16
6,4,61,14,64,0,33
6,5,18,20,64,0,4
6,6,32,24,64,0,8
6,7,56,5,64,0,4
6,8,47,51,64,0,3
6,9,20,5,64,0,9
6,10,2,52,64,0,10
6,11,0,21,64,0,15
6,12,39,13,64,0,5
6,13,51,57,64,0,28
6,14,44,6,64,0,4
6,15,11,7,64,0,14
7,0,50,3,64,0,3
7,1,24,3,64,0,9
7,2,29,30,64,0,30
7,3,42,7,64,0,45
7,4,0,32,64,0,6
7,5,2,58,64,0,27
7,6,15,44,64,0,18
7,7,18,10,64,0,17
7,8,45,21,64,0,14
7,9,62,25,64,0,18
7,10,19,6,64,0,9
7,11,37,60,64,0,8
7,12,63,4,64,0,47
7,13,27,22,64,0,6
7,14,61,34,64,0,4
7,15,17,59,64,0,3
8,0,31,2,64,0,4
8,1,2,12,64,0,5
8,2,26,57,64,0,13
8,3,36,43,64,0,39
8,4,16,14,64,0,25
8,5,54,41,64,0,11
8,6,32,58,64,0,25
8,7,59,1,64,0,14
8,8,20,15,64,0,8
8,9,52,62,64,0,7
8,10,13,22,64,0,5
8,11,25,20,64,0,4
8,12,7,30,64,0,4
8,13,30,38,64,0,5
8,14,18,12,64,0,6
8,15,33,57,64,0,10
9,0,25,23,64,0,37
9,1,44,33,64,0,9
9,2,43,11,64,0,16
