episode,k1,k2,v,pred1,pred2,correct
0,7,48,13,48,40,0
1,37,41,61,41,41,0
2,47,56,45,5,56,0
3,41,34,21,9,63,0
4,50,60,41,41,41,0
5,62,6,27,12,17,0
6,44,29,42,29,40,0
7,13,14,19,19,19,0
8,58,45,42,41,58,0
9,57,49,29,49,49,0
10,56,37,60,37,37,0
11,8,54,16,17,40,0
12,28,48,60,48,40,0
13,7,41,8,41,41,0
14,22,23,48,48,23,0
15,11,1,62,1,62,1
16,45,42,25,42,52,0
17,53,51,1,17,51,0
18,62,26,61,26,46,0
19,3,54,59,59,25,0
20,27,34,7,40,17,0
21,40,17,4,40,40,0
22,35,10,21,21,21,0
23,10,34,20,20,17,0
24,50,63,47,24,63,0
25,42,10,28,40,42,0
26,27,26,24,12,26,0
27,33,16,58,58,7,0
28,47,17,6,40,17,0
29,16,35,52,35,33,0
30,25,29,41,41,29,0
31,57,22,40,40,40,0
32,33,48,38,48,40,0
33,53,28,42,40,42,0
34,29,19,16,19,19,0
35,18,7,50,7,52,0
36,16,37,28,37,37,0
37,41,56,45,41,41,0
38,15,41,8,41,41,0
39,38,18,53,40,17,0
40,46,14,31,40,46,0
41,57,15,13,52,15,0
42,2,60,23,12,53,0
43,45,6,56,17,45,0
44,10,11,12,12,53,0
45,8,37,40,37,37,0
46,41,54,48,52,53,0
47,29,12,24,12,53,0
48,25,41,57,41,41,0
49,10,35,53,35,35,0
50,52,26,56,52,52,0
51,47,15,50,15,25,0
52,51,2,56,2,12,0
53,12,32,47,24,32,0
54,32,57,47,40,32,0
55,36,22,17,40,17,0
56,19,4,43,19,19,0
57,22,50,58,58,27,0
58,46,53,6,40,46,0
59,34,28,59,17,25,0
60,52,31,62,52,52,0
61,62,26,12,12,53,0
62,11,29,54,29,52,0
63,16,54,20,11,17,0
64,29,12,3,12,53,0
65,37,31,57,9,17,0
66,21,43,33,63,21,0
67,39,33,31,52,39,0
68,12,38,23,53,12,0
69,27,50,26,46,58,0
70,30,58,62,58,58,0
71,31,57,62,57,25,0
72,31,30,60,40,17,0
73,53,10,7,40,40,0
74,53,14,31,17,40,0
75,42,3,51,52,42,0
76,6,60,10,40,6,0
77,15,24,47,25,40,0
78,33,43,16,40,17,0
79,49,14,27,12,53,0
80,61,8,54,8,17,0
81,43,46,13,13,46,0
82,21,20,31,20,21,0
83,26,18,17,44,48,0
84,44,31,29,29,17,0
85,15,3,27,25,40,0
86,60,36,16,40,17,0
87,52,19,5,19,19,0
88,55,26,28,26,55,0
89,28,20,31,20,28,0
90,59,53,12,12,53,0
91,24,9,13,9,9,0
92,1,4,17,17,25,0
93,23,3,47,52,40,0
94,45,0,55,55,55,0
95,58,6,45,27,58,0
96,23,28,17,28,23,0
97,8,24,23,17,40,0
98,61,43,20,20,61,0
99,20,2,29,29,2,0
