episode,query_idx,key,value,pred,correct,rank
0,0,177,140,152,0,162
0,1,67,122,204,0,184
0,2,163,128,103,0,230
0,3,102,152,192,0,62
0,4,11,127,110,0,117
0,5,133,242,140,0,129
0,6,71,77,166,0,127
0,7,165,160,42,0,27
0,8,35,132,99,0,227
0,9,73,82,156,0,40
0,10,61,230,172,0,105
0,11,80,128,141,0,210
0,12,28,228,165,0,142
0,13,224,133,212,0,98
0,14,109,16,228,0,106
0,15,112,97,180,0,130
0,16,42,59,246,0,253
0,17,160,127,31,0,32
0,18,225,157,165,0,241
0,19,142,193,161,0,41
0,20,81,202,32,0,73
0,21,139,66,26,0,67
0,22,122,225,39,0,18
0,23,248,25,229,0,35
0,24,108,251,87,0,126
0,25,19,39,143,0,127
0,26,16,126,164,0,234
0,27,9,145,218,0,216
0,28,207,104,188,0,185
0,29,39,91,134,0,17
0,30,25,83,2,0,68
0,31,164,9,74,0,239
0,32,0,23,208,0,175
0,33,134,40,165,0,144
0,34,182,112,109,0,195
0,35,27,145,185,0,52
0,36,34,8,80,0,138
0,37,54,29,96,0,80
0,38,234,31,26,0,3
0,39,195,165,144,0,2
0,40,36,46,120,0,224
0,41,173,69,184,0,128
0,42,62,8,73,0,117
0,43,186,161,52,0,66
0,44,209,108,149,0,65
0,45,202,129,190,0,139
0,46,47,203,228,0,71
0,47,237,234,36,0,195
0,48,175,149,25,0,4
0,49,136,126,162,0,37
0,50,176,150,167,0,92
0,51,178,96,223,0,93
0,52,127,42,14,0,130
0,53,194,235,86,0,138
0,54,231,9,238,0,167
0,55,125,119,5,0,107
0,56,31,90,68,0,199
0,57,193,222,123,0,172
0,58,223,47,48,0,5
0,59,245,18,132,0,11
0,60,77,154,34,0,220
0,61,201,58,32,0,237
0,62,63,9,249,0,92
0,63,21,65,154,0,226
1,0,253,11,60,0,212
1,1,32,120,209,0,93
1,2,75,122,154,0,203
1,3,158,175,136,0,168
1,4,45,216,6,0,56
1,5,143,194,16,0,177
1,6,126,124,238,0,226
1,7,196,31,256,0,148
1,8,86,65,100,0,34
1,9,50,92,35,0,216
1,10,81,166,32,0,218
1,11,213,18,122,0,165
1,12,221,169,116,0,249
1,13,116,205,90,0,202
1,14,131,46,154,0,66
1,15,4,175,223,0,190
1,16,83,86,181,0,231
1,17,18,70,79,0,30
1,18,157,248,38,0,15
1,19,255,45,0,0,38
1,20,46,168,217,0,191
1,21,72,184,98,0,256
1,22,49,168,1,0,64
1,23,82,45,104,0,203
1,24,15,0,4,0,94
1,25,98,76,230,0,148
1,26,200,155,15,0,133
1,27,102,103,153,0,249
1,28,124,108,67,0,33
1,29,42,154,246,0,214
1,30,228,119,217,0,21
1,31,207,107,188,0,222
1,32,135,119,208,0,105
1,33,204,176,167,0,146
1,34,139,137,26,0,54
1,35,121,67,113,0,240
1,36,54,30,96,0,88
1,37,220,114,16,0,162
1,38,73,31,245,0,231
1,39,188,85,31,0,18
1,40,1,18,73,0,48
1,41,254,255,218,0,258
1,42,174,150,218,0,103
1,43,53,127,135,0,157
1,44,247,254,117,0,258
1,45,122,249,91,0,143
1,46,197,210,10,0,57
1,47,90,29,74,0,121
1,48,132,233,176,0,45
1,49,89,224,115,0,223
1,50,27,197,233,0,169
1,51,95,206,55,0,130
1,52,61,47,172,0,163
1,53,163,129,103,0,240
1,54,97,191,78,0,178
1,55,160,190,31,0,31
1,56,37,191,93,0,115
1,57,216,144,145,0,80
1,58,230,66,7,0,111
1,59,9,91,6,0,110
1,60,19,89,143,0,47
1,61,238,106,45,0,235
1,62,239,168,182,0,114
1,63,159,75,153,0,70
2,0,128,201,44,0,106
2,1,57,119,84,0,126
2,2,162,248,122,0,36
2,3,249,146,87,0,196
2,4,77,30,34,0,139
2,5,193,203,156,0,207
2,6,200,215,15,0,83
2,7,238,223,45,0,249
2,8,196,219,51,0,203
2,9,221,250,116,0,36
2,10,85,233,168,0,195
2,11,58,35,158,0,195
2,12,203,12,0,0,140
2,13,174,29,187,0,79
2,14,86,251,100,0,189
2,15,106,7,152,0,209
2,16,15,30,4,0,155
2,17,60,21,192,0,71
2,18,7,61,64,0,228
2,19,111,104,236,0,205
2,20,199,69,149,0,178
2,21,56,235,15,0,210
2,22,182,171,109,0,149
2,23,222,212,36,0,215
2,24,247,155,140,0,187
2,25,31,250,68,0,61
2,26,180,77,155,0,239
2,27,121,101,113,0,38
2,28,95,91,55,0,163
2,29,51,79,111,0,161
2,30,125,28,202,0,25
2,31,219,74,184,0,19
2,32,102,151,110,0,99
2,33,205,62,21,0,257
2,34,113,250,195,0,63
2,35,240,212,250,0,160
2,36,166,101,5,0,145
2,37,201,249,32,0,43
2,38,175,101,25,0,118
2,39,232,137,25,0,206
2,40,44,64,108,0,29
2,41,88,137,31,0,207
2,42,229,70,49,0,57
2,43,28,51,91,0,223
2,44,87,228,132,0,252
2,45,176,217,0,0,169
2,46,220,83,16,0,128
2,47,93,54,50,0,155
2,48,2,117,100,0,256
2,49,32,148,209,0,110
2,50,208,47,19,0,231
2,51,8,179,122,0,210
2,52,143,88,16,0,104
2,53,189,211,209,0,172
2,54,254,17,13,0,170
2,55,36,217,120,0,150
2,56,235,20,8,0,243
2,57,3,152,143,0,147
2,58,1,226,73,0,201
2,59,216,160,145,0,240
2,60,152,172,254,0,237
2,61,91,74,227,0,162
2,62,228,248,217,0,41
2,63,120,69,242,0,192
3,0,145,66,242,0,248
3,1,50,13,221,0,142
3,2,235,163,8,0,63
3,3,59,146,66,0,108
3,4,229,56,49,0,21
3,5,82,235,104,0,199
3,6,1,17,107,0,15
3,7,32,22,209,0,235
3,8,88,52,31,0,35
3,9,121,251,113,0,4
3,10,219,218,0,0,55
3,11,173,120,184,0,44
3,12,159,98,97,0,38
3,13,233,76,19,0,163
3,14,11,77,185,0,178
3,15,2,96,43,0,121
3,16,247,154,140,0,117
3,17,61,213,39,0,132
3,18,157,144,38,0,250
3,19,241,181,170,0,23
3,20,41,59,57,0,33
3,21,144,116,181,0,24
3,22,178,108,223,0,80
3,23,0,161,208,0,115
3,24,143,107,16,0,145
3,25,147,84,230,0,144
3,26,21,150,154,0,2
3,27,172,171,136,0,247
3,28,250,56,133,0,216
3,29,75,196,154,0,15
3,30,8,155,62,0,231
3,31,54,74,96,0,96
3,32,182,194,109,0,154
3,33,34,225,80,0,57
3,34,224,241,212,0,10
3,35,232,224,25,0,48
3,36,27,134,233,0,194
3,37,10,153,91,0,2
3,38,6,255,180,0,146
3,39,174,41,218,0,92
3,40,135,24,208,0,52
3,41,244,123,226,0,151
3,42,22,114,101,0,221
3,43,171,217,145,0,7
3,44,204,30,167,0,51
3,45,132,42,176,0,253
3,46,255,145,0,0,215
3,47,150,183,156,0,207
3,48,38,170,205,0,68
3,49,155,208,136,0,108
3,50,202,171,190,0,142
3,51,114,245,148,0,75
3,52,111,209,117,0,99
3,53,165,130,42,0,79
3,54,63,255,62,0,32
3,55,125,154,202,0,15
3,56,209,45,236,0,209
3,57,227,90,48,0,255
3,58,239,33,182,0,62
3,59,99,250,214,0,157
3,60,58,85,158,0,97
3,61,205,10,21,0,235
3,62,72,233,67,0,14
3,63,16,155,164,0,14
4,0,179,56,240,0,72
4,1,202,135,190,0,254
4,2,78,138,146,0,244
4,3,241,137,184,0,250
4,4,97,247,78,0,81
4,5,68,151,154,0,82
4,6,141,64,67,0,228
4,7,161,225,119,0,231
4,8,22,166,101,0,17
4,9,184,164,5,0,222
4,10,84,50,6,0,3
4,11,48,219,226,0,26
4,12,178,138,223,0,151
4,13,138,27,223,0,77
4,14,221,156,116,0,161
4,15,10,95,91,0,211
4,16,104,110,171,0,61
4,17,132,235,176,0,209
4,18,193,119,123,0,78
4,19,163,57,103,0,112
4,20,171,151,145,0,61
4,21,85,168,168,1,1
4,22,79,54,98,0,134
4,23,213,14,122,0,230
4,24,19,28,143,0,178
4,25,176,158,64,0,251
4,26,66,75,119,0,213
4,27,42,199,246,0,29
4,28,147,51,230,0,141
4,29,108,134,71,0,165
4,30,142,229,11,0,143
4,31,60,217,217,1,1
4,32,89,109,115,0,193
4,33,151,33,199,0,28
4,34,43,103,46,0,140
4,35,157,128,38,0,159
4,36,119,221,142,0,230
4,37,98,103,230,0,112
4,38,3,64,143,0,258
4,39,143,42,16,0,237
4,40,0,44,208,0,250
4,41,18,141,79,0,8
4,42,39,49,134,0,151
4,43,121,52,113,0,231
4,44,30,193,163,0,102
4,45,95,158,55,0,7
4,46,118,104,189,0,127
4,47,145,214,73,0,56
4,48,212,249,65,0,60
4,49,173,57,184,0,248
4,50,35,48,99,0,107
4,51,219,90,184,0,18
4,52,21,245,154,0,40
4,53,144,137,203,0,215
4,54,31,135,68,0,224
4,55,45,80,6,0,224
4,56,109,6,228,0,45
4,57,243,177,157,0,154
4,58,230,36,7,0,182
4,59,248,95,229,0,223
4,60,200,212,15,0,18
4,61,129,69,10,0,233
4,62,32,110,209,0,14
4,63,120,140,242,0,91
5,0,190,236,142,0,177
5,1,141,198,67,0,109
5,2,188,201,31,0,202
5,3,72,117,67,0,48
5,4,136,115,55,0,201
5,5,102,81,110,0,77
5,6,129,225,10,0,24
5,7,228,35,217,0,179
5,8,124,38,67,0,248
5,9,159,50,153,0,101
5,10,221,131,116,0,231
5,11,21,101,154,0,17
5,12,39,83,134,0,141
5,13,82,62,104,0,209
5,14,77,75,34,0,55
5,15,250,101,135,0,9
5,16,89,100,115,0,232
5,17,251,169,71,0,193
5,18,176,222,167,0,171
5,19,145,109,73,0,230
5,20,207,218,121,0,114
